iter	Passed	Remaining
0	9	5469
1	17	5105
2	24	4800
3	31	4750
4	39	4693
5	47	4687
6	55	4674
7	62	4660
8	70	4637
9	78	4626
10	86	4624
11	93	4596
12	101	4588
13	109	4566
14	116	4552
15	124	4530
16	132	4535
17	140	4530
18	147	4523
19	155	4515
20	163	4499
21	170	4470
22	177	4455
23	185	4445
24	192	4430
25	200	4426
26	208	4416
27	215	4401
28	223	4400
29	231	4398
30	239	4393
31	247	4385
32	255	4383
33	262	4377
34	270	4366
35	277	4354
36	286	4356
37	294	4356
38	302	4347
39	309	4338
40	317	4328
41	324	4317
42	332	4311
43	340	4301
44	347	4290
45	355	4278
46	363	4273
47	370	4261
48	377	4250
49	385	4240
50	393	4231
51	401	4227
52	409	4227
53	418	4227
54	426	4222
55	434	4217
56	442	4213
57	450	4211
58	458	4207
59	466	4199
60	475	4198
61	483	4194
62	491	4190
63	499	4186
64	507	4179
65	515	4173
66	523	4164
67	531	4156
68	539	4152
69	547	4147
70	555	4140
71	564	4139
72	571	4129
73	579	4118
74	586	4107
75	594	4097
76	601	4088
77	609	4082
78	617	4074
79	625	4068
80	633	4056
81	640	4048
82	648	4040
83	656	4030
84	663	4020
85	671	4011
86	678	4003
87	686	3994
88	694	3985
89	702	3978
90	709	3969
91	717	3961
92	725	3956
93	733	3949
94	740	3938
95	748	3927
96	755	3917
97	763	3910
98	771	3904
99	785	3928
100	797	3939
101	808	3947
102	818	3951
103	830	3959
104	838	3952
105	846	3943
106	854	3935
107	861	3925
108	869	3918
109	877	3909
110	885	3901
111	892	3890
112	900	3880
113	908	3872
114	916	3867
115	924	3857
116	932	3848
117	940	3841
118	948	3832
119	956	3827
120	965	3820
121	974	3818
122	982	3810
123	990	3801
124	997	3790
125	1005	3782
126	1012	3772
127	1020	3764
128	1029	3758
129	1037	3750
130	1044	3740
131	1052	3731
132	1059	3721
133	1067	3712
134	1075	3704
135	1083	3695
136	1091	3689
137	1099	3679
138	1106	3669
139	1112	3656
140	1120	3646
141	1128	3639
142	1135	3627
143	1142	3618
144	1149	3608
145	1157	3597
146	1163	3586
147	1171	3576
148	1178	3565
149	1185	3555
150	1192	3545
151	1199	3535
152	1206	3525
153	1215	3521
154	1224	3514
155	1232	3507
156	1240	3500
157	1249	3494
158	1257	3488
159	1267	3484
160	1275	3477
161	1284	3472
162	1293	3466
163	1301	3460
164	1310	3454
165	1318	3447
166	1327	3441
167	1335	3433
168	1343	3426
169	1351	3418
170	1359	3411
171	1368	3405
172	1377	3398
173	1386	3393
174	1394	3387
175	1402	3379
176	1410	3371
177	1418	3362
178	1426	3354
179	1434	3346
180	1442	3338
181	1449	3329
182	1457	3322
183	1466	3315
184	1474	3306
185	1481	3297
186	1489	3288
187	1497	3281
188	1504	3271
189	1511	3261
190	1519	3253
191	1526	3244
192	1535	3237
193	1542	3227
194	1549	3217
195	1556	3207
196	1563	3198
197	1570	3188
198	1578	3180
199	1585	3170
200	1592	3160
201	1599	3150
202	1605	3140
203	1612	3131
204	1620	3122
205	1627	3113
206	1635	3105
207	1642	3095
208	1649	3086
209	1657	3077
210	1664	3068
211	1672	3060
212	1679	3051
213	1686	3042
214	1693	3032
215	1701	3024
216	1709	3017
217	1717	3009
218	1724	3000
219	1731	2991
220	1739	2982
221	1746	2974
222	1753	2965
223	1761	2956
224	1768	2947
225	1774	2937
226	1781	2927
227	1788	2918
228	1795	2908
229	1802	2899
230	1809	2890
231	1816	2881
232	1823	2871
233	1830	2862
234	1837	2853
235	1845	2845
236	1852	2837
237	1860	2829
238	1866	2819
239	1873	2810
240	1881	2802
241	1887	2792
242	1894	2783
243	1902	2775
244	1909	2767
245	1917	2758
246	1924	2750
247	1931	2740
248	1938	2732
249	1945	2723
250	1953	2715
251	1961	2708
252	1968	2700
253	1975	2691
254	1983	2683
255	1991	2676
256	1998	2667
257	2006	2659
258	2012	2650
259	2020	2641
260	2027	2633
261	2035	2625
262	2042	2616
263	2049	2607
264	2056	2599
265	2062	2589
266	2069	2581
267	2077	2573
268	2084	2565
269	2091	2556
270	2098	2547
271	2106	2539
272	2113	2531
273	2120	2522
274	2126	2513
275	2134	2505
276	2140	2496
277	2147	2487
278	2154	2479
279	2161	2470
280	2168	2461
281	2176	2453
282	2183	2445
283	2191	2438
284	2198	2429
285	2206	2422
286	2214	2414
287	2222	2407
288	2229	2399
289	2238	2392
290	2247	2386
291	2254	2378
292	2261	2369
293	2268	2361
294	2276	2353
295	2283	2345
296	2290	2336
297	2297	2328
298	2304	2320
299	2312	2312
300	2319	2303
301	2326	2295
302	2333	2287
303	2340	2279
304	2348	2271
305	2354	2262
306	2361	2253
307	2367	2244
308	2375	2237
309	2382	2228
310	2389	2220
311	2395	2211
312	2402	2202
313	2409	2194
314	2416	2186
315	2422	2177
316	2429	2169
317	2436	2160
318	2443	2152
319	2451	2144
320	2458	2136
321	2465	2128
322	2472	2120
323	2479	2112
324	2486	2103
325	2492	2095
326	2500	2087
327	2507	2079
328	2515	2071
329	2521	2063
330	2528	2055
331	2535	2046
332	2542	2038
333	2549	2030
334	2556	2022
335	2563	2014
336	2569	2005
337	2576	1997
338	2583	1989
339	2590	1980
340	2597	1972
341	2604	1964
342	2611	1956
343	2619	1949
344	2627	1942
345	2635	1934
346	2643	1927
347	2651	1920
348	2660	1913
349	2669	1906
350	2678	1899
351	2686	1892
352	2695	1885
353	2705	1879
354	2714	1873
355	2721	1865
356	2729	1857
357	2737	1850
358	2744	1842
359	2752	1834
360	2759	1827
361	2767	1819
362	2774	1811
363	2781	1803
364	2789	1795
365	2796	1787
366	2803	1780
367	2813	1773
368	2820	1765
369	2827	1757
370	2834	1749
371	2842	1742
372	2849	1734
373	2856	1726
374	2864	1718
375	2871	1710
376	2879	1703
377	2886	1695
378	2894	1687
379	2900	1679
380	2907	1671
381	2915	1663
382	2922	1655
383	2928	1647
384	2935	1639
385	2943	1631
386	2950	1624
387	2958	1616
388	2965	1608
389	2972	1600
390	2979	1592
391	2987	1585
392	2993	1576
393	3001	1569
394	3008	1561
395	3015	1553
396	3022	1545
397	3029	1537
398	3037	1529
399	3044	1522
400	3052	1514
401	3058	1506
402	3065	1498
403	3073	1490
404	3080	1483
405	3088	1475
406	3095	1467
407	3102	1460
408	3109	1451
409	3116	1444
410	3123	1436
411	3129	1428
412	3136	1420
413	3143	1412
414	3150	1404
415	3158	1396
416	3164	1388
417	3171	1381
418	3178	1373
419	3185	1365
420	3193	1357
421	3200	1349
422	3207	1342
423	3214	1334
424	3222	1326
425	3230	1319
426	3237	1311
427	3243	1303
428	3250	1295
429	3257	1287
430	3264	1280
431	3271	1272
432	3278	1264
433	3285	1256
434	3292	1249
435	3299	1241
436	3306	1233
437	3314	1225
438	3321	1218
439	3329	1210
440	3337	1203
441	3344	1195
442	3352	1188
443	3360	1180
444	3367	1172
445	3373	1164
446	3381	1157
447	3388	1149
448	3396	1142
449	3403	1134
450	3411	1127
451	3418	1119
452	3425	1111
453	3432	1103
454	3439	1096
455	3447	1088
456	3454	1080
457	3461	1073
458	3469	1065
459	3475	1057
460	3483	1050
461	3490	1042
462	3498	1035
463	3504	1027
464	3511	1019
465	3518	1011
466	3524	1003
467	3531	996
468	3538	988
469	3545	980
470	3551	972
471	3558	964
472	3564	957
473	3571	949
474	3578	941
475	3585	934
476	3592	926
477	3600	918
478	3607	911
479	3614	903
480	3622	896
481	3629	888
482	3637	881
483	3644	873
484	3651	865
485	3658	858
486	3665	850
487	3673	843
488	3680	835
489	3687	827
490	3694	820
491	3702	812
492	3709	805
493	3716	797
494	3722	789
495	3730	782
496	3737	774
497	3745	767
498	3752	759
499	3759	751
500	3767	744
501	3774	736
502	3781	729
503	3787	721
504	3794	713
505	3801	706
506	3807	698
507	3814	690
508	3821	683
509	3828	675
510	3835	667
511	3841	660
512	3848	652
513	3856	645
514	3864	637
515	3871	630
516	3879	622
517	3887	615
518	3894	607
519	3902	600
520	3911	593
521	3920	585
522	3928	578
523	3935	570
524	3944	563
525	3950	555
526	3959	548
527	3966	540
528	3973	533
529	3980	525
530	3987	518
531	3994	510
532	4001	503
533	4008	495
534	4016	487
535	4023	480
536	4029	472
537	4036	465
538	4044	457
539	4050	450
540	4058	442
541	4065	435
542	4072	427
543	4078	419
544	4086	412
545	4093	404
546	4099	397
547	4107	389
548	4113	382
549	4121	374
550	4127	367
551	4134	359
552	4141	352
553	4148	344
554	4155	336
555	4163	329
556	4169	321
557	4176	314
558	4183	306
559	4191	299
560	4197	291
561	4204	284
562	4211	276
563	4218	269
564	4225	261
565	4232	254
566	4238	246
567	4246	239
568	4253	231
569	4259	224
570	4266	216
571	4273	209
572	4279	201
573	4287	194
574	4293	186
575	4300	179
576	4307	171
577	4314	164
578	4321	156
579	4328	149
580	4337	141
581	4343	134
582	4350	126
583	4357	119
584	4365	111
585	4372	104
586	4380	97
587	4387	89
588	4393	82
589	4400	74
590	4407	67
591	4415	59
592	4422	52
